"publish_date","headline_text","year","month","day"
20210816,"people flock to kabul airport as taliban seizes capital",2021,8,16
20091126,"senior liberals desert turnbull",2009,11,26
20110607,"interview matt scott",2011,6,7
20170323,"one plus one: jim cassidy",2017,3,23
20060718,"more australians leave lebanon",2006,7,18
20080304,"melb housing plan released",2008,3,4
20070823,"developer reveals revised plans for south west",2007,8,23
20101102,"beaches to open despite shark sightings",2010,11,2
20171203,"german police use water cannon to disperse protesters",2017,12,3
20051216,"council staff strike over pay",2005,12,16
20120907,"dozens killed in china quakes",2012,9,7
20080319,"first cut pm announces adf appointments",2008,3,19
20110501,"titan fined 25k for drink driving",2011,5,1
20080305,"nt transport minister pushes for taxi cctv",2008,3,5
20070712,"teams change line ups for weekend afl clashes",2007,7,12
20181019,"good old boys acquitted over 10 year old boys waterslide death",2018,10,19
20050613,"falling land sales offer hope for greater coast",2005,6,13
20050716,"arthurs trying to put australia 2 0 up",2005,7,16
20210315,"down syndrome swimmer tahnee afuhaamango breaks world record",2021,3,15
20050317,"council seeks disaster centre funds",2005,3,17
20140425,"warriors take anzac day honours in melbourne",2014,4,25
20170106,"jordan says moving us embassy to jerusalem is red line",2017,1,6
20070504,"page mp takes parting shot at labor rivals",2007,5,4
20100804,"family centre funding extended",2010,8,4
20150928,"umpire assaulted wa country football grand final bunbury",2015,9,28
20080917,"deal to help secure monaro softwood industry",2008,9,17
20080908,"man prosecuted under sa drug laws",2008,9,8
20190605,"china issues us travel alert warning of official harassment",2019,6,5
20130601,"abc sport",2013,6,1
20200715,"sas raid on shina village",2020,7,15
20081120,"govt accused of putting mining before indigenous",2008,11,20
20090910,"cafe prosecuted for underpaying worker",2009,9,10
20071008,"suicide victims mother pleads for better services",2007,10,8
20060712,"lippi stands down as italy coach",2006,7,12
20050309,"online company blames bank controls for theft",2005,3,9
20060410,"community getting back to normal after power woes",2006,4,10
20120530,"police search for men after home invasion",2012,5,30
20050503,"conservationists call for restrictions on coastal",2005,5,3
20170804,"poland to continue logging unesco protected forest",2017,8,4
20170222,"social media a conduit for grief says professor",2017,2,22
20141101,"nt warned to be prepared for cyclone season",2014,11,1
20170511,"budget 2017 shorten to argue for fairer tax measures",2017,5,11
20150723,"prop bromwich primed for nrl changes",2015,7,23
20070111,"toad busters claim breeding cycle interrupted",2007,1,11
20111116,"hostage drama inmates demanded crayfish",2011,11,16
20060111,"appeal launched against decision to overturn",2006,1,11
20161111,"leonard cohen deserved literature nobel prize over bob dylan",2016,11,11
20150810,"loxton high school questions new university bonus points scheme",2015,8,10
20030623,"white winter wonderland in batlow",2003,6,23
20110214,"cyclone debris poses serious threat to marine life",2011,2,14
20170602,"task master marum urging png hunters to rise to",2017,6,2
20050111,"10m fund for tsunami victims",2005,1,11
20120726,"geoff huegilliv",2012,7,26
20120727,"facebook posts $157m loss",2012,7,27
20031126,"hooper signs on again at lancashire",2003,11,26
20130531,"melbourne council to bulldoze newly renovated scout hall",2013,5,31
20121128,"rail on the move at winton",2012,11,28
20030427,"nt doctors group voices support for medicare",2003,4,27
20100511,"testimony to stay sealed in polanski case",2010,5,11
20080312,"patel awaiting extradition from us",2008,3,12
20080201,"big gladstone nickel project steps up",2008,2,1
20080818,"mental illness plea from man accused of stabbing",2008,8,18
20120427,"tassie sawmiller cashed up with optimism",2012,4,27
20060630,"matthews calls for fatherson overhaul",2006,6,30
20040317,"experts consider locust control methods",2004,3,17
20201014,"documentary accuses aspi abc of driving anti china sentiment",2020,10,14
20121026,"gold coast high rise goes under",2012,10,26
20070804,"us marine to serve 15 years for iraqi murder",2007,8,4
20050714,"joint defence exercise boosts local economies",2005,7,14
20090511,"porto claims fourth straight title",2009,5,11
20090312,"mp fights for bushmaster defence contract",2009,3,12
20130415,"interview kurt gidley",2013,4,15
20121127,"cider man running a wine show",2012,11,27
20170323,"asperitas burnie mans cloud dreams come true",2017,3,23
20040601,"interest rates tipped to remain on hold",2004,6,1
20061114,"emissions trading inquiry questioned",2006,11,14
20140928,"grandstand breakfast september 28",2014,9,28
20100707,"bureaucrat rejects sacking claim",2010,7,7
20040212,"more beds for gippsland aged care facilities",2004,2,12
20161210,"dreamworld ceo craig davidson speaks at reopening park",2016,12,10
20090423,"renal unit boost for regional sa",2009,4,23
20110411,"boy killed during hide and seek court told",2011,4,11
20120828,"leaked email reveals forestry tas split",2012,8,28
20150613,"top sheep dogs put though their paces ahead of nsw selections",2015,6,13
20200518,"coronavirus update australia covid19 boris johnson china",2020,5,18
20110821,"nick sheard carpenteria exploration minerals and",2011,8,21
20061110,"port kembla to share in freight train improvements",2006,11,10
20030618,"hollingworth moves out of govt house",2003,6,18
20120420,"coroner on leanyer child drowning",2012,4,20
20080313,"raikkonen hamilton renew rivalry in season opener",2008,3,13
20140717,"interview shane perkins",2014,7,17
20030521,"costa trumpets public transport changes",2003,5,21
20090417,"the town of st marys takes on the rsl",2009,4,17
20091231,"us steps up military economic aid to yemen",2009,12,31
20160125,"qantas air nz supend vanuatu flights over runway concerns",2016,1,25
20061110,"farmers warned to check for mice",2006,11,10
20080723,"liu xiang carrying the hopes of a nation",2008,7,23
20070601,"tonga to set up aust nz high commissions",2007,6,1
20060220,"rally calls for action to address lake pollution",2006,2,20
20041024,"taiwan president hopeful of new talks with china",2004,10,24
20140407,"news exchange",2014,4,7
20030823,"lions too strong for the cats at the gabba",2003,8,23
20171115,"child vaccination exemption letters from gps no longer accepted",2017,11,15
20121014,"mariners vs glory a league wrap",2012,10,14
20090526,"pair plead not guilty to weston club hold up",2009,5,26
20130718,"weather on the way: bom",2013,7,18
20060411,"no shortage of candidates for socceroos post",2006,4,11
20160218,"mccullys fiji visit to counter russian influence",2016,2,18
20080731,"us fed to extend emergency investment funding",2008,7,31
20191005,"tackling crime darwin northern territory",2019,10,5
20121130,"sydney 500 ford and holdens last showdown",2012,11,30
20130429,"grandstand breakfast april 29",2013,4,29
20031009,"bringing sheep home could wipe out native species",2003,10,9
20030409,"congressman calls for creation of us peace",2003,4,9
20140123,"abbott throws support behind navy",2014,1,23
20150930,"call for a new approach to increase number of",2015,9,30
20070925,"nationals mp calls for stop to underage drinking",2007,9,25
20060920,"vline promises to improve punctuality",2006,9,20
20100614,"snow season kicks off with a ball",2010,6,14
20080929,"fernandez castano pips westwood in british masters",2008,9,29
20110915,"swan takes control of rba board's pay",2011,9,15
20181126,"at least 30 dead as uganda party boat capsizes",2018,11,26
20120409,"planning talaks",2012,4,9
20030813,"murder victims mother backs death penalty",2003,8,13
20210111,"del percio says it is highly unlikely trump to be convicted",2021,1,11
20120113,"ripper brushes off leadership speculation",2012,1,13
20040806,"mp turns up heat over bathhouse handling",2004,8,6
20060923,"opposition pledges national dental scheme",2006,9,23
20101021,"penthouse founder leaves racy legacy",2010,10,21
20040128,"sixers still awaiting moore decision",2004,1,28
20081025,"suspect toilet stench clears out london airport",2008,10,25
20090312,"report slams tas mine safety resourcing",2009,3,12
20120211,"cooper at peace with world cup struggles",2012,2,11
20071005,"federal funds to target cooroy curra bruce hwy",2007,10,5
20120309,"dry ice incident puts teacher's career on hold",2012,3,9
20130301,"game council finds positives in park hunting pause",2013,3,1
20130206,"scammers target two wa houses",2013,2,6
20050816,"coles myer sales up 10pc",2005,8,16
20140623,"capital hill monday 23 june 2014",2014,6,23
20111211,"day three first session highlights",2011,12,11
20130116,"bookham and yass focus on clean up after the fires",2013,1,16
20080205,"community store replaced after blaze",2008,2,5
20140814,"cba boss weighs in on government's budget woes",2014,8,14
20171220,"canberra man denied bail allegedly breaking prison guards neck",2017,12,20
20111117,"santos announces csg pipe re route",2011,11,17
20200404,"covid 19 coronavirus without symptoms still contagious",2020,4,4
20130829,"murray through venus loses blake gone",2013,8,29
20070919,"senator expresses regret after stun gun attack",2007,9,19
20140618,"blues break origin drought",2014,6,18
20130606,"greens minister clashes with rebel mp",2013,6,6
20100909,"womans body found in reserve",2010,9,9
20100719,"chase through suburbs ends with crash",2010,7,19
20121231,"abc entertainment",2012,12,31
20100824,"hasluck in limbo as counting continues",2010,8,24
20060412,"scores killed in pakistani blast",2006,4,12
20120427,"qld workers face job losses amid cmi closure",2012,4,27
20120106,"flooding in menindee",2012,1,6
20040420,"us court to hear hicks habib case",2004,4,20
20060530,"environmental projects awarded 70 million extra",2006,5,30
20060805,"father refused bail over alleged abduction of",2006,8,5
20130729,"nrn savem",2013,7,29
20120915,"investors consider commonwealth compensation over storm",2012,9,15
20161207,"pat cummins shakes off the rust as injury return continues",2016,12,7
20051114,"demand growing for australian minerals in india",2005,11,14
20030804,"hyundai chief linked to north korea bribes leaps to",2003,8,4
20101005,"councils demand pats rethink",2010,10,5
20140710,"government facing criticism program welfare school attendance",2014,7,10
20060516,"duck lobby group fires litter criticism at shooters",2006,5,16
20040407,"double whammy in mini budget says stoner",2004,4,7
20130712,"belair rail services return from this weekend",2013,7,12
20071014,"germany lead the way to euro 2008 finals",2007,10,14
20190705,"venezuela death squads murdering young men un report",2019,7,5
20161123,"nrl clears titans hayne over bikie video",2016,11,23
20050509,"australian arrested on cannabis charges in bali",2005,5,9
20180101,"s korea siezes ship suspected of evading north korea sanctions",2018,1,1
20190516,"federal election emissions targets fracking gas industry labor",2019,5,16
20181220,"the best gift to give this christmas",2018,12,20
20041101,"local govts consider efficiency boost",2004,11,1
20110503,"stranded dolphin rescued by father and son",2011,5,3
20150730,"muresk institute funding royalties regions agriculture skills",2015,7,30
20060706,"barloworld abandons wattyl takeover",2006,7,6
20120410,"man pleads guilty to shooting at ex partner",2012,4,10
20090416,"sons of gwalia directors multi million dollar",2009,4,16
20171208,"same sex couples married overseas have vows recognised",2017,12,8
20070303,"nz apple ban to be lifted in weeks",2007,3,3
20030911,"powell rejects european compromise on iraq",2003,9,11
20110510,"education dept defends students academic standards",2011,5,10
20090704,"gold salute gets up for heffernan",2009,7,4
20100713,"charges upgraded to murder",2010,7,13
20200828,"independent soft drink companies were prevalent in",2020,8,28
20110708,"athletes return with medal haul",2011,7,8
20130125,"lee national security strategy",2013,1,25
20110818,"texas not horsing around for december races",2011,8,18
20080512,"keep car tariffs until 2015 brumby",2008,5,12
20070727,"roosters shocking storm",2007,7,27
20100202,"clarence mayor elects to stay local",2010,2,2
20050506,"suicides in mental health facilities not usual",2005,5,6
20060709,"eight devils found dead on tas property",2006,7,9
20070614,"nz condemns high commissioner expulsion",2007,6,14
20030320,"greens unveil political funding bill",2003,3,20
20100609,"torres scores as spain thrashes poland",2010,6,9
20101209,"flooded residents take stock as rains continue",2010,12,9
20140819,"port lincoln mayor laments ferry services",2014,8,19
20100812,"family dispute linked to shooting",2010,8,12
20150707,"fifa bans harold mayne nicholls over confidentiality breach",2015,7,7
20150403,"aboriginal legend palm tree origin central australia research",2015,4,3
20200504,"victoria police suspends officer over appalling",2020,5,4
20040825,"rebels lift kathmandu blockade",2004,8,25
20121017,"hoon driver spencer remanded after guilty plea",2012,10,17
20060313,"wenger leaves door open for beckham",2006,3,13
20110103,"concern about lack of grain storage for farmers",2011,1,3
20120106,"huon environment centre celebrates",2012,1,6
20191016,"peta calls for memorial for chickens killed in truck fire",2019,10,16
20110718,"territory retail economy",2011,7,18
20130804,"rudd brokers deals with wa vic over gonski ndis",2013,8,4
20070423,"businesses call for support on workplace drug",2007,4,23
20080922,"hudson gets life in prison",2008,9,22
20050603,"hmas melbourne docks in namesake city",2005,6,3
20060710,"protesting ship workers ignore threat of",2006,7,10
20041208,"unions call on govts to save ion jobs",2004,12,8
20070422,"france gears up for presidential poll",2007,4,22
20150420,"memorial kulk children killed in easter crash nsw central coast",2015,4,20
20111209,"outback town braces for floods",2011,12,9
20140306,"crunchy dates",2014,3,6
20120117,"national farmers federation writes its budget",2012,1,17
20100525,"ad campaign airs wind farm policy fears",2010,5,25
20110918,"britain seals davis cup promotion",2011,9,18
20100106,"town escapes isolating floods",2010,1,6
20071025,"aussies ready for new era lee",2007,10,25
20110407,"claims hunter refugees live in slums",2011,4,7
20100720,"market bounces to solid gain",2010,7,20
20090610,"chopper crashes into dreamworld car park",2009,6,10
20060108,"three sharks suspected in fatal attack",2006,1,8
20080415,"woman yet to be sentenced for culpable driving",2008,4,15
20040226,"hickss father unsurprised by indefinite custody",2004,2,26
20120811,"interview justin poore",2012,8,11
20190512,"religions turn to tech but can they compete with facebook",2019,5,12
20031231,"tasmanian scrub blaze under control",2003,12,31
20050610,"study warns of ibuprofen risk",2005,6,10
20190827,"celebrations outside the sagrada familia in barcelona",2019,8,27
20151016,"belmont police headquarters on track for november opening",2015,10,16
20170109,"carl von stanke and santiago neumann find shipwreck",2017,1,9
20040113,"lord of the rings continues box office reign",2004,1,13
20080717,"weddin shire considers ward abolition",2008,7,17
20180317,"jury finds iraqi teen guilty of planting london subway bomb",2018,3,17
20160726,"wa drummer finds new castle",2016,7,26
20060719,"help available for drought hit farmers",2006,7,19
20140516,"magpies cannot blame siren blunder nathan buckley",2014,5,16
20031121,"more turkey attacks may be planned britain warns",2003,11,21
20101104,"tender awarded for uni housing project",2010,11,4
20070815,"planned challenge to e timor govt dropped",2007,8,15
20090817,"shot fired in violent home invasion",2009,8,17
20040219,"study finds adelaide the best place for business",2004,2,19
20030906,"at least six killed 37 wounded in kashmir blast",2003,9,6
20040716,"tyson tired of training ready to fight says trainer",2004,7,16
20070524,"anthropologist to investigate mystery skull find",2007,5,24
20031208,"news corp pushes asx lower",2003,12,8
20190627,"scar trees of value to canberra indigenous people removed",2019,6,27
20080126,"iran approaches nuclear fuel target",2008,1,26
20080527,"child killer cramb dies in hospital",2008,5,27
20040927,"fallen soldiers names added to war memorial",2004,9,27
20110503,"anz warns of slow growth ahead",2011,5,3
20140114,"forge shares slump again on further profit warning",2014,1,14
20121112,"bypass protest fails to disrupt opening",2012,11,12
20170905,"senate committee says citizenship english proposal too tough",2017,9,5
20060617,"international indigenous art auctions to aid",2006,6,17
20030728,"approval sought for new cape york body",2003,7,28
20070222,"check reveals no maryborough cane smut",2007,2,22
20120224,"rosberg sings tough webber's praises",2012,2,24
20200129,"logging bushfire affected areas australia increases fire risk",2020,1,29
20120516,"media call michael voss jonathan brown",2012,5,16
20100329,"asylum boats intercepted",2010,3,29
20200104,"marnus labuschagne makes his mark concentration the key",2020,1,4
20141203,"archaeologists search for range hotel township in queensland",2014,12,3
20090629,"nationals welcome recycled water plans scrapping",2009,6,29
20031126,"tas teenager thanks supporters in fight to stay",2003,11,26
20121122,"retailer myer defends the newest e tailer on the",2012,11,22
20081112,"drivers face fines in unsigned zones",2008,11,12
20130620,"fed comments drives fall on wall st",2013,6,20
20100302,"claims politicians funded criminals escape",2010,3,2
20081015,"socceroos prepared to bide their time",2008,10,15
20171124,"celebrities throw support behind cyntoia brown",2017,11,24
20161123,"defrocked dean denies leading group of paedophile priests",2016,11,23
20140819,"gagai not leaving knights for broncos",2014,8,19
20111102,"researchers step closer to prostate cancer cure",2011,11,2
20081204,"zimbabwe cholera outbreak declared national",2008,12,4
20070329,"grandmas rally to highlight childrens rights",2007,3,29
20140602,"petkovic outlasts bertens to reach last eight",2014,6,2
20140723,"barnett stunned by gag order in buswell insurance offer",2014,7,23
20210805,"lockdowns continue to be called across the nation",2021,8,5
20100122,"iron ore production to start this year",2010,1,22
20131212,"western power fined for failing to meet targets",2013,12,12
20040920,"modra takes paralympics gold",2004,9,20
20090708,"rudd warns of lengthy economic recovery",2009,7,8
20151108,"severe thunderstorms bear down on southern queensland",2015,11,8
20141104,"more public servants edging towards industrial action",2014,11,4
20100114,"hewitt dumped from sydney international",2010,1,14
20210922,"melbourne protesters met by riot police shrine of remembrance",2021,9,22
20130902,"moreno takes stage nine; overall lead in tour of spain",2013,9,2
20120125,"chinese medicine threatens ningaloo manta rays",2012,1,25
20110927,"williams' jury considers verdict",2011,9,27
20150223,"40pc of australians believe anxiety is a not a mental illness",2015,2,23
20120227,"state buildings sale premiers office",2012,2,27
20041116,"search continues for missing swimmer",2004,11,16
20190411,"new style cafes help people living with dementia",2019,4,11
20170731,"matildas sam kerr scores first half hat trick to",2017,7,31
20030708,"nsw govt offers exploration pledge",2003,7,8
20161214,"atar results most canberra students in top 35 per cent",2016,12,14
20160927,"man arrested over campbellfield shooting",2016,9,27
20120530,"qld government accused of wind farm overreaction",2012,5,30
20040311,"labor urges coalition revolt on telstra",2004,3,11
20170908,"sugar ramos boxing champion shadowed by 2 ring deaths dies",2017,9,8
20120612,"market news wrap",2012,6,12
20040210,"ganguly wants safety assurances for pakistan tour",2004,2,10
20141113,"south australian government promises 5000 jobs in mining sector",2014,11,13
20150420,"new satellite fire station for cobungra in",2015,4,20
20160810,"cctv of a shooting at attwood; vic; that put two",2016,8,10
20150115,"ama to pm please reverse medicare changes",2015,1,15
20120625,"delve to stay with rebels",2012,6,25
20081215,"pm to join wa premier for talks on ord river scheme",2008,12,15
20130709,"watt withdraws from world championships",2013,7,9
20110718,"internet glitch leaks medvet data",2011,7,18
20070609,"ripper rules out payroll tax cuts",2007,6,9
20091113,"kidmans curves receive thumbs up and down",2009,11,13
20110415,"long term water fix urged for farmers",2011,4,15
20210213,"stolen generation miriam rose senior australian of the year",2021,2,13
20130619,"drones",2013,6,19
20100105,"moore river fire keeps coastal communities on alert",2010,1,5
20100824,"chaplain charged over child pornography",2010,8,24
20110707,"bungle bungle access comes at a price",2011,7,7
20151207,"nick xenophon faces uphill battle federal election commentator",2015,12,7
20130205,"sp attack meritless doj lawsuit",2013,2,5
20200405,"melbourne laneway street art artists concerned for future",2020,4,5
20070129,"police reject bendigo hoon capital tag",2007,1,29
20040418,"defence dept accused of inquiry interference",2004,4,18
20160310,"coral bleaching off coffs harbour human caused says scientists",2016,3,10
20160628,"post brexit blues continue on share market",2016,6,28
20191015,"westpac ceo mortgage expensive accc inquiry",2019,10,15
20150527,"federal government orders review of organ donation system",2015,5,27
20040424,"button claims maiden pole in italy",2004,4,24
20081219,"snow business in vegas",2008,12,19
20190904,"bronte and cate campbell believe fellow swimmer",2019,9,4
20040321,"gunners equal record chelsea united win",2004,3,21
20130912,"local resident shocked by how quickly fire",2013,9,12
20210409,"government accused failing first hurdle astrazeneca covid qanda",2021,4,9
20151207,"newcastle man describes 'nightmare' of train travel in whee",2015,12,7
20030220,"us tells turkey time running out for aid offer",2003,2,20
20091230,"investigation into fatal crash continues",2009,12,30
20040229,"raaf prepares for vanuatu aid mission",2004,2,29
20120726,"study gives early childcare tick of approval",2012,7,26
20141009,"growing garlic lessons",2014,10,9
20050502,"unions use may day to focus on ir reforms",2005,5,2
20080401,"slipper wants party members to have merger say",2008,4,1
20150415,"fifita successfully fights charge suspension reduced to two",2015,4,15
20091112,"dell hangs up the boots",2009,11,12
20130611,"commonwealth accused of playing politics over gonski",2013,6,11
20060223,"canadas klassen wins her fourth medal in turin",2006,2,23
20040111,"warriors two down at lunch",2004,1,11
20190930,"asic cba dollarmite school banking programs review",2019,9,30
20071010,"us urges turkey against iraq incursion",2007,10,10
20110923,"satellite to hit earth today",2011,9,23
20100819,"whale gives birth in hobart river",2010,8,19
20140929,"continuation of shipping service to flinders island",2014,9,29
20130821,"analyst says bhp result shows mining boom is over",2013,8,21
20100412,"probe continues into fatal katherine crash",2010,4,12
20050531,"sydney wont run out of drinking water govt",2005,5,31
20150811,"base metals price slump",2015,8,11
20130708,"gove deal",2013,7,8
20090819,"not guilty pleas over student murder",2009,8,19
20170717,"interest rates four reasons why rba cannot raise them",2017,7,17
20150511,"mini bus fire at stirling shopping centre car park",2015,5,11
20110810,"armour jailed",2011,8,10
20130328,"bozanic re signs with mariners",2013,3,28
20130319,"graziers unite to fence out wild pests",2013,3,19
20141124,"deadline looms for say on barkly open cut",2014,11,24
20051013,"parole process to include victims more",2005,10,13
20070607,"the reflections of voters on politicians and vice",2007,6,7
20160104,"rural tas podcast 0401",2016,1,4
20101110,"exploration firm seeks to reassure after shares",2010,11,10
20090329,"world landmarks go dark for earth hour",2009,3,29
20030315,"blacklock brilliance enlivens waratahs win",2003,3,15
20140213,"gold coast ship terminal plan facing many hurdles",2014,2,13
20111107,"bobby calves to be restricted to 30 hours without",2011,11,7
20101103,"toddler killed in farming accident",2010,11,3
20050118,"man charged after officers arm trapped in car",2005,1,18
20150827,"ryan carter ray thieme adam ballantine aaco employee challenge",2015,8,27
20070802,"conference to focus on youth issues",2007,8,2
20061015,"breakthrough in battle over battery point foreshore",2006,10,15
20120608,"more resources to tackle postnatal depression",2012,6,8
20190711,"winners and losers of perths congestion busting road projects",2019,7,11
20140828,"red centre farm mango john crayford",2014,8,28
20100115,"machete wielding robbers strike video store",2010,1,15
20140213,"falling land values in the nambucca have sparked a review of a",2014,2,13
20180823,"sa nuclear waste dump vote in discrimination claim",2018,8,23
20160202,"freight train derails near townsville",2016,2,2
20140618,"council not concerned with pspa application",2014,6,18
20061116,"eastern cold snap brings snow to qld",2006,11,16
20100723,"female graduates earning less than males study",2010,7,23
20130511,"slipper moves to palmer's party",2013,5,11
20160330,"asx finishes in green with aussie dollar up",2016,3,30
20130228,"cobbora changes",2013,2,28
20091231,"residents return to fire ravaged homes",2009,12,31
20100218,"baby died despite domestic violence concerns",2010,2,18
20131003,"cable reunion",2013,10,3
20080522,"freezing fingal",2008,5,22
20091224,"traders report more profitable december",2009,12,24
20180720,"donald trump rips into fed trade tensions drag wall street lower",2018,7,20
20070818,"us rate cut boosts world markets",2007,8,18
20031130,"england meet old foes france in euro 2004 clash",2003,11,30
20190801,"toyota faces class action over hilux prado filter issues",2019,8,1
20101206,"search continues for missing bushwalker",2010,12,6
20140720,"australia aiming to top commonwealth games athletics medal tally",2014,7,20
20060816,"council considers no loitering signs for harrington",2006,8,16
20030920,"tas crane accident kills man",2003,9,20
20110328,"no deal in sight for e timor immigration centre",2011,3,28
20040726,"ethicist confronted by protesters in adelaide",2004,7,26
20130314,"gray violence against women",2013,3,14
20050803,"co op backs vendor tax demise",2005,8,3
20161223,"radio adelaide granted injunction against abc over branding",2016,12,23
20130625,"review into gmo moratorium in tasmania",2013,6,25
20170509,"wa banana growers turn seconds food waste into gelato",2017,5,9
